timestamp, name, pci.bus_id, driver_version, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/04/29 19:11:52.924, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/29 19:11:52.925, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 37, 0 %, 0 %, 48576 MiB, 48047 MiB, 529 MiB
2021/04/29 19:16:52.927, Quadro RTX 8000, 00000000:15:00.0, 460.39, P2, 46, 25 %, 3 %, 48601 MiB, 44746 MiB, 3855 MiB
2021/04/29 19:16:52.928, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 38, 0 %, 0 %, 48576 MiB, 48047 MiB, 529 MiB
2021/04/29 19:21:52.929, Quadro RTX 8000, 00000000:15:00.0, 460.39, P2, 51, 19 %, 0 %, 48601 MiB, 43372 MiB, 5229 MiB
2021/04/29 19:21:52.930, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 40, 0 %, 0 %, 48576 MiB, 48047 MiB, 529 MiB
2021/04/29 19:26:52.931, Quadro RTX 8000, 00000000:15:00.0, 460.39, P2, 53, 29 %, 7 %, 48601 MiB, 42292 MiB, 6309 MiB
2021/04/29 19:26:52.932, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 41, 0 %, 0 %, 48576 MiB, 48047 MiB, 529 MiB
2021/04/29 19:31:52.933, Quadro RTX 8000, 00000000:15:00.0, 460.39, P2, 50, 21 %, 0 %, 48601 MiB, 45128 MiB, 3473 MiB
2021/04/29 19:31:52.934, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 42, 0 %, 0 %, 48576 MiB, 48047 MiB, 529 MiB
2021/04/29 19:36:52.935, Quadro RTX 8000, 00000000:15:00.0, 460.39, P2, 55, 17 %, 0 %, 48601 MiB, 43266 MiB, 5335 MiB
2021/04/29 19:36:52.936, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 42, 0 %, 0 %, 48576 MiB, 48047 MiB, 529 MiB
2021/04/29 19:41:52.937, Quadro RTX 8000, 00000000:15:00.0, 460.39, P2, 56, 29 %, 7 %, 48601 MiB, 41160 MiB, 7441 MiB
2021/04/29 19:41:52.938, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 47, 0 %, 0 %, 48576 MiB, 41748 MiB, 6828 MiB
2021/04/29 19:46:52.940, Quadro RTX 8000, 00000000:15:00.0, 460.39, P2, 57, 20 %, 0 %, 48601 MiB, 40176 MiB, 8425 MiB
