MODEL	EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
bert-ner	1	23:58:30	0	0.1000	10.108754252089456	18.132732391357422	0.0000	0.0000	0.0000
bert-ner	2	00:00:03	0	0.1000	4.523071545474934	2.7146108150482178	0.7646	0.7769	0.7707
bert-ner	3	00:01:35	0	0.1000	3.3946976901600197	2.262702703475952	0.7809	0.8111	0.7957
bert-ner	4	00:03:09	0	0.1000	2.8981126254459597	2.0619287490844727	0.7935	0.8257	0.8092
bert-ner	5	00:04:42	0	0.1000	2.6216832166947657	1.83480966091156	0.8153	0.8315	0.8233
bert-ner	6	00:06:21	0	0.1000	2.423892916373487	1.7409361600875854	0.8134	0.8434	0.8281
bert-ner	7	00:07:54	0	0.1000	2.280927673075934	1.6525437831878662	0.8239	0.8474	0.8355
bert-ner	8	00:09:27	0	0.1000	2.175426345201408	1.6523022651672363	0.8136	0.8638	0.8380
bert-ner	9	00:11:00	1	0.1000	2.0879013733294025	1.6515872478485107	0.8136	0.8608	0.8366
bert-ner	10	00:12:31	0	0.1000	2.015883794370687	1.5297973155975342	0.8227	0.8656	0.8436
bert-ner	11	00:14:10	0	0.1000	1.9504927569215402	1.4811291694641113	0.8304	0.8646	0.8472
bert-ner	12	00:15:42	1	0.1000	1.8893737830455948	1.4916828870773315	0.8255	0.8675	0.8460
bert-ner	13	00:17:13	0	0.1000	1.8474119444313288	1.4682964086532593	0.8247	0.8726	0.8480
bert-ner	14	00:18:46	1	0.1000	1.80298953236274	1.5327460765838623	0.8207	0.8747	0.8468
bert-ner	15	00:20:16	2	0.1000	1.7634200142614496	1.5594637393951416	0.8157	0.8826	0.8478
bert-ner	16	00:21:52	0	0.1000	1.7391855304346144	1.4307284355163574	0.8276	0.8803	0.8531
bert-ner	17	00:23:25	1	0.1000	1.6985148213944345	1.450585126876831	0.8243	0.8839	0.8531
bert-ner	18	00:24:55	0	0.1000	1.659901553729795	1.3357648849487305	0.8424	0.8694	0.8557
bert-ner	19	00:26:28	0	0.1000	1.6377734223251823	1.3863565921783447	0.8316	0.8830	0.8565
bert-ner	20	00:28:02	0	0.1000	1.6176374288474988	1.318852186203003	0.8407	0.8808	0.8603
bert-ner	21	00:29:41	1	0.1000	1.5919873976857408	1.3598136901855469	0.8345	0.8821	0.8576
bert-ner	22	00:31:12	2	0.1000	1.5672913819738903	1.5187181234359741	0.8141	0.8943	0.8523
bert-ner	23	00:32:43	3	0.1000	1.5349632891469032	1.3238747119903564	0.8379	0.8831	0.8599
bert-ner	24	00:34:14	0	0.1000	1.5150847719900262	1.2731528282165527	0.8436	0.8810	0.8619
bert-ner	25	00:35:47	1	0.1000	1.4954895043523058	1.2828909158706665	0.8427	0.8812	0.8615
bert-ner	26	00:37:18	2	0.1000	1.476198895172503	1.3229954242706299	0.8320	0.8909	0.8604
bert-ner	27	00:38:54	3	0.1000	1.4669815549310647	1.3390982151031494	0.8322	0.8892	0.8597
bert-ner	28	00:40:24	4	0.1000	1.4347921167529605	1.2549363374710083	0.8421	0.8820	0.8616
bert-ner	29	00:41:54	0	0.0500	1.3956428811235249	1.2490966320037842	0.8422	0.8861	0.8636
bert-ner	30	00:43:27	0	0.0500	1.3870305572665713	1.2310363054275513	0.8458	0.8849	0.8649
bert-ner	31	00:45:00	1	0.0500	1.3710497077905908	1.2400965690612793	0.8427	0.8860	0.8638
bert-ner	32	00:46:36	0	0.0500	1.3609679277587987	1.2184007167816162	0.8468	0.8866	0.8662
bert-ner	33	00:48:08	1	0.0500	1.3417833346240926	1.2757116556167603	0.8352	0.8922	0.8628
bert-ner	34	00:49:38	2	0.0500	1.3424125887312979	1.247652292251587	0.8408	0.8899	0.8647
bert-ner	35	00:51:08	3	0.0500	1.339681367454289	1.2142107486724854	0.8444	0.8873	0.8653
bert-ner	36	00:52:39	4	0.0500	1.3318159475266558	1.2668871879577637	0.8374	0.8932	0.8644
bert-ner	37	00:54:14	0	0.0250	1.3075608907255736	1.1819995641708374	0.8520	0.8839	0.8676
bert-ner	38	00:55:47	1	0.0250	1.3059137332364448	1.216352939605713	0.8434	0.8910	0.8665
bert-ner	39	00:57:17	2	0.0250	1.2978343266361165	1.2173681259155273	0.8435	0.8902	0.8662
bert-ner	40	00:58:47	3	0.0250	1.2963717328677387	1.1906301975250244	0.8474	0.8885	0.8675
bert-ner	41	01:00:18	4	0.0250	1.2899903493857234	1.2182899713516235	0.8419	0.8927	0.8666
bert-ner	42	01:01:54	1	0.0125	1.280757964781995	1.2014436721801758	0.8459	0.8896	0.8672
bert-ner	43	01:03:24	0	0.0125	1.2795427977663916	1.1867233514785767	0.8494	0.8868	0.8677
bert-ner	44	01:04:57	1	0.0125	1.2778327644995924	1.2039692401885986	0.8459	0.8902	0.8675
bert-ner	45	01:06:27	2	0.0125	1.2732260714536943	1.2064263820648193	0.8455	0.8901	0.8672
bert-ner	46	01:07:58	3	0.0125	1.2623691648807165	1.211909532546997	0.8444	0.8916	0.8674
bert-ner	47	01:09:28	0	0.0125	1.2648612313300558	1.2102447748184204	0.8450	0.8918	0.8678
bert-ner	48	01:11:07	0	0.0125	1.2702582077410236	1.203693151473999	0.8459	0.8909	0.8679
bert-ner	49	01:12:39	1	0.0125	1.2624231711873468	1.238438606262207	0.8409	0.8942	0.8667
bert-ner	50	01:14:09	2	0.0125	1.2573968546945344	1.2058732509613037	0.8446	0.8914	0.8674
bert-ner	51	01:15:40	0	0.0125	1.2602898504749034	1.1971499919891357	0.8463	0.8908	0.8680
bert-ner	52	01:17:13	1	0.0125	1.262736196787852	1.2009342908859253	0.8453	0.8917	0.8679
bert-ner	53	01:18:48	2	0.0125	1.2577283086266908	1.2094132900238037	0.8439	0.8921	0.8673
bert-ner	54	01:20:18	0	0.0125	1.2510998361515548	1.1910836696624756	0.8475	0.8917	0.8690
bert-ner	55	01:21:51	0	0.0125	1.2535055557137016	1.1736927032470703	0.8523	0.8866	0.8691
