Model	Started	Ended	F1-Micro	F1-Macro
bert-char-ner	2021-04-01 10:28:08,230	2021-04-02 10:21:49,273	0.0014	0.0009
bert-glove-ner	2021-04-01 10:03:28,969	2021-04-01 17:57:50,874	0.0026	0.0009
bert-ner	2021-04-02 10:21:49,324	2021-04-02 18:09:16,504	0.8453	0.7408
elmo-ner	2021-04-08 00:24:59,885	2021-04-08 10:03:48,279	0.8530	0.7473
finbert-char-ner	2021-03-25 21:05:53,141	2021-03-27 01:57:55,703	0.0007	0.0002
finbert-flair-ner	2021-03-31 18:32:00,174	2021-03-31 18:42:33,837		
finbert-glove-ner	2021-03-31 10:29:01,452	2021-03-31 19:13:41,589	0.0035	0.0019
finbert-ner	2021-03-27 01:57:55,744	2021-03-27 12:03:04,319	0.7859	0.6374
finbert-roberta-ner	2021-03-31 19:13:41,642	2021-04-01 05:54:07,872	0.0008	0.0007
flair-ner	2021-03-31 10:21:16,126	2021-03-31 18:31:59,977	0.8464	0.7397
glove-char-ner	2021-04-01 17:57:50,892	2021-04-02 22:13:36,538	0.8279	0.7017
roberta-ner	2021-04-08 10:03:48,304	2021-04-08 20:35:26,710	0.8426	0.7315
xlm-roberta-ner	2021-04-08 11:26:51,114	2021-04-08 22:20:37,194		
xlnet-ner	2021-04-08 00:35:57,303	2021-04-08 11:26:51,042	0.8367	0.7204
