timestamp, name, pci.bus_id, driver_version, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/04/12 18:34:23.633, Quadro RTX 8000, 00000000:15:00.0, 460.39, P2, 47, 30 %, 1 %, 48601 MiB, 45346 MiB, 3255 MiB
2021/04/12 18:34:23.634, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P2, 64, 38 %, 10 %, 48576 MiB, 26675 MiB, 21901 MiB
2021/04/12 18:39:23.636, Quadro RTX 8000, 00000000:15:00.0, 460.39, P2, 49, 35 %, 2 %, 48601 MiB, 45346 MiB, 3255 MiB
2021/04/12 18:39:23.636, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P2, 67, 29 %, 4 %, 48576 MiB, 20929 MiB, 27647 MiB
2021/04/12 18:44:23.638, Quadro RTX 8000, 00000000:15:00.0, 460.39, P2, 50, 28 %, 1 %, 48601 MiB, 45346 MiB, 3255 MiB
2021/04/12 18:44:23.639, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P2, 61, 31 %, 3 %, 48576 MiB, 20929 MiB, 27647 MiB
2021/04/12 18:49:23.640, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 44, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/12 18:49:23.640, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 49, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/12 18:54:23.641, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 35, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/12 18:54:23.642, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 42, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/12 18:59:23.644, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 33, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/12 18:59:23.644, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 40, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/12 19:04:23.645, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 33, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/12 19:04:23.646, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 38, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/12 19:09:23.647, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 33, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/12 19:09:23.648, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 38, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/12 19:14:23.650, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 33, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/12 19:14:23.650, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 37, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/12 19:19:23.652, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 33, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/12 19:19:23.653, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 37, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/12 19:24:23.654, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/12 19:24:23.654, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 37, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
