MODEL	EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
elmo-ner	1	23:05:55	0	0.1000	8.026696146437615	3.3130152225494385	0.4465	0.5917	0.5090
elmo-ner	2	23:06:03	0	0.1000	2.3036342028415566	1.8300327062606812	0.7734	0.8250	0.7984
elmo-ner	3	23:06:11	0	0.1000	1.6562979383902117	1.5515893697738647	0.8699	0.8917	0.8807
elmo-ner	4	23:06:19	1	0.1000	1.2245415232398293	1.4866600036621094	0.8750	0.8167	0.8448
elmo-ner	5	23:06:27	0	0.1000	0.9947918364495942	1.3855713605880737	0.8833	0.8833	0.8833
elmo-ner	6	23:06:35	1	0.1000	0.9099506017836657	1.5210213661193848	0.8947	0.8500	0.8718
elmo-ner	7	23:06:42	2	0.1000	0.7923384110132853	1.478327989578247	0.8618	0.8833	0.8724
elmo-ner	8	23:06:50	0	0.1000	0.8126217686768734	1.4760842323303223	0.8862	0.9083	0.8971
elmo-ner	9	23:07:00	1	0.1000	0.6997399366263187	1.5856542587280273	0.8560	0.8917	0.8735
elmo-ner	10	23:07:08	2	0.1000	0.6644924228841608	1.7380547523498535	0.8640	0.9000	0.8816
elmo-ner	11	23:07:16	3	0.1000	0.520319910663547	1.6009516716003418	0.8992	0.8917	0.8954
elmo-ner	12	23:07:24	0	0.1000	0.5059209068616232	1.4757096767425537	0.9328	0.9250	0.9289
elmo-ner	13	23:07:33	0	0.1000	0.46469738808545197	1.4980134963989258	0.9256	0.9333	0.9295
elmo-ner	14	23:07:41	0	0.1000	0.4354184251843077	1.3969337940216064	0.9187	0.9417	0.9300
elmo-ner	15	23:07:50	1	0.1000	0.414784827467167	1.385507345199585	0.9024	0.9250	0.9136
elmo-ner	16	23:07:58	2	0.1000	0.39631587899092474	1.4423158168792725	0.9167	0.9167	0.9167
elmo-ner	17	23:08:06	3	0.1000	0.307853049401081	1.371203899383545	0.8960	0.9333	0.9143
elmo-ner	18	23:08:13	4	0.1000	0.3232962475581603	1.5143015384674072	0.8880	0.9250	0.9061
elmo-ner	19	23:08:21	1	0.0500	0.2885963103987954	1.5518341064453125	0.9106	0.9333	0.9218
elmo-ner	20	23:08:29	0	0.0500	0.2791821776014386	1.599031925201416	0.9194	0.9500	0.9344
elmo-ner	21	23:08:37	1	0.0500	0.2517358913566127	1.5667630434036255	0.8960	0.9333	0.9143
elmo-ner	22	23:08:45	0	0.0500	0.20310931585051797	1.4955527782440186	0.9417	0.9417	0.9417
elmo-ner	23	23:08:54	1	0.0500	0.1974043409819856	1.6254924535751343	0.9040	0.9417	0.9224
elmo-ner	24	23:09:02	2	0.0500	0.20762699842453003	1.5979489088058472	0.9113	0.9417	0.9262
elmo-ner	25	23:09:09	3	0.0500	0.18855189057913693	1.6504952907562256	0.9268	0.9500	0.9383
elmo-ner	26	23:09:17	4	0.0500	0.1899547619237141	1.6963257789611816	0.9194	0.9500	0.9344
elmo-ner	27	23:09:25	0	0.0250	0.1803613892107299	1.6053987741470337	0.9274	0.9583	0.9426
elmo-ner	28	23:09:33	1	0.0250	0.16989605851245648	1.684211015701294	0.9200	0.9583	0.9388
elmo-ner	29	23:09:41	0	0.0250	0.17083151232112537	1.749448299407959	0.9280	0.9667	0.9469
elmo-ner	30	23:09:49	1	0.0250	0.13304851610552182	1.8319551944732666	0.9200	0.9583	0.9388
elmo-ner	31	23:09:57	2	0.0250	0.1900134700717348	1.8636479377746582	0.9200	0.9583	0.9388
elmo-ner	32	23:10:05	3	0.0250	0.15402798851331076	1.7853929996490479	0.9280	0.9667	0.9469
elmo-ner	33	23:10:12	4	0.0250	0.18176154340758469	1.6805458068847656	0.9200	0.9583	0.9388
elmo-ner	34	23:10:20	1	0.0125	0.14831664887341586	1.731248378753662	0.9200	0.9583	0.9388
elmo-ner	35	23:10:27	2	0.0125	0.15056326144346685	1.741269588470459	0.9200	0.9583	0.9388
elmo-ner	36	23:10:35	3	0.0125	0.16521433266726407	1.7516944408416748	0.9200	0.9583	0.9388
elmo-ner	37	23:10:42	4	0.0125	0.1271148920059204	1.722001075744629	0.9200	0.9583	0.9388
elmo-ner	38	23:10:49	1	0.0063	0.1455447296753074	1.7225816249847412	0.9200	0.9583	0.9388
